src,dst,label,timestamp,event_type
bng-4ca0b5ba,trunk-26b8dd58,HAS_PORT,0,add
bng-03de2daa,trunk-f0d10be5,HAS_PORT,0,add
concentrator-18ce6022,trunk-26b8dd58,DEPENDS_ON,0,add
concentrator-18ce6022,trunk-f0d10be5,DEPENDS_ON,0,add
concentrator-18ce6022,port-3e035c11,HAS_PORT,0,add
cpe-62cc68dc,port-3e035c11,DEPENDS_ON,0,add
cpe-62cc68dc,trunk-26b8dd58,DEPENDS_ON,0,add
cpe-62cc68dc,trunk-f0d10be5,DEPENDS_ON,0,add
sa-3d1d29dd,cpe-62cc68dc,DEPENDS_ON,0,add
sa-3d1d29dd,location-1309,INSTALLED_AT,0,add
concentrator-18ce6022,port-874b7464,HAS_PORT,0,add
cpe-d71c517b,port-874b7464,DEPENDS_ON,0,add
cpe-d71c517b,trunk-26b8dd58,DEPENDS_ON,0,add
cpe-d71c517b,trunk-f0d10be5,DEPENDS_ON,0,add
sa-375db7c7,cpe-d71c517b,DEPENDS_ON,0,add
sa-375db7c7,location-228,INSTALLED_AT,0,add
concentrator-18ce6022,port-d7126c8a,HAS_PORT,0,add
cpe-b51ae25f,port-d7126c8a,DEPENDS_ON,0,add
cpe-b51ae25f,trunk-26b8dd58,DEPENDS_ON,0,add
cpe-b51ae25f,trunk-f0d10be5,DEPENDS_ON,0,add
sa-b91accb7,cpe-b51ae25f,DEPENDS_ON,0,add
sa-b91accb7,location-51,INSTALLED_AT,0,add
concentrator-18ce6022,port-7dbf04b4,HAS_PORT,0,add
cpe-ecdea7bc,port-7dbf04b4,DEPENDS_ON,0,add
cpe-ecdea7bc,trunk-26b8dd58,DEPENDS_ON,0,add
cpe-ecdea7bc,trunk-f0d10be5,DEPENDS_ON,0,add
sa-0bf98607,cpe-ecdea7bc,DEPENDS_ON,0,add
sa-0bf98607,location-1518,INSTALLED_AT,0,add
concentrator-18ce6022,port-a0659b5f,HAS_PORT,0,add
cpe-358ec469,port-a0659b5f,DEPENDS_ON,0,add
cpe-358ec469,trunk-26b8dd58,DEPENDS_ON,0,add
cpe-358ec469,trunk-f0d10be5,DEPENDS_ON,0,add
sa-4bcc9429,cpe-358ec469,DEPENDS_ON,0,add
sa-4bcc9429,location-563,INSTALLED_AT,0,add
concentrator-18ce6022,port-b9b81cd9,HAS_PORT,0,add
cpe-36ddf89e,port-b9b81cd9,DEPENDS_ON,0,add
cpe-36ddf89e,trunk-26b8dd58,DEPENDS_ON,0,add
cpe-36ddf89e,trunk-f0d10be5,DEPENDS_ON,0,add
sa-bb5f6b0c,cpe-36ddf89e,DEPENDS_ON,0,add
sa-bb5f6b0c,location-501,INSTALLED_AT,0,add
concentrator-18ce6022,port-a2bd1ec7,HAS_PORT,0,add
cpe-ae8ae23d,port-a2bd1ec7,DEPENDS_ON,0,add
cpe-ae8ae23d,trunk-26b8dd58,DEPENDS_ON,0,add
cpe-ae8ae23d,trunk-f0d10be5,DEPENDS_ON,0,add
sa-a48c045d,cpe-ae8ae23d,DEPENDS_ON,0,add
sa-a48c045d,location-457,INSTALLED_AT,0,add
concentrator-18ce6022,port-43367609,HAS_PORT,0,add
cpe-052b5ce9,port-43367609,DEPENDS_ON,0,add
cpe-052b5ce9,trunk-26b8dd58,DEPENDS_ON,0,add
cpe-052b5ce9,trunk-f0d10be5,DEPENDS_ON,0,add
sa-20f6c73e,cpe-052b5ce9,DEPENDS_ON,0,add
sa-20f6c73e,location-285,INSTALLED_AT,0,add
concentrator-18ce6022,port-243bd4e8,HAS_PORT,0,add
cpe-d56b985a,port-243bd4e8,DEPENDS_ON,0,add
cpe-d56b985a,trunk-26b8dd58,DEPENDS_ON,0,add
