src,dst,label,timestamp,event_type
bng-5a179f6b,trunk-8e25ffdb,HAS_PORT,0,add
bng-b1cf2c23,trunk-5da41dda,HAS_PORT,0,add
concentrator-09e50146,trunk-8e25ffdb,DEPENDS_ON,0,add
concentrator-09e50146,trunk-5da41dda,DEPENDS_ON,0,add
concentrator-09e50146,port-f00194ab,HAS_PORT,0,add
cpe-a4a63e1b,port-f00194ab,DEPENDS_ON,0,add
cpe-a4a63e1b,trunk-8e25ffdb,DEPENDS_ON,0,add
cpe-a4a63e1b,trunk-5da41dda,DEPENDS_ON,0,add
sa-87888ad1,cpe-a4a63e1b,DEPENDS_ON,0,add
sa-87888ad1,location-1309,INSTALLED_AT,0,add
concentrator-09e50146,port-956767ca,HAS_PORT,0,add
cpe-85ab3523,port-956767ca,DEPENDS_ON,0,add
cpe-85ab3523,trunk-8e25ffdb,DEPENDS_ON,0,add
cpe-85ab3523,trunk-5da41dda,DEPENDS_ON,0,add
sa-b832c6d5,cpe-85ab3523,DEPENDS_ON,0,add
sa-b832c6d5,location-228,INSTALLED_AT,0,add
concentrator-09e50146,port-017fa319,HAS_PORT,0,add
cpe-0ad69e26,port-017fa319,DEPENDS_ON,0,add
cpe-0ad69e26,trunk-8e25ffdb,DEPENDS_ON,0,add
cpe-0ad69e26,trunk-5da41dda,DEPENDS_ON,0,add
sa-3e340554,cpe-0ad69e26,DEPENDS_ON,0,add
sa-3e340554,location-51,INSTALLED_AT,0,add
concentrator-09e50146,port-7a543340,HAS_PORT,0,add
cpe-b7194a3d,port-7a543340,DEPENDS_ON,0,add
cpe-b7194a3d,trunk-8e25ffdb,DEPENDS_ON,0,add
cpe-b7194a3d,trunk-5da41dda,DEPENDS_ON,0,add
sa-0c960055,cpe-b7194a3d,DEPENDS_ON,0,add
sa-0c960055,location-1518,INSTALLED_AT,0,add
concentrator-09e50146,port-cb6ad8c7,HAS_PORT,0,add
cpe-6bf0f99f,port-cb6ad8c7,DEPENDS_ON,0,add
cpe-6bf0f99f,trunk-8e25ffdb,DEPENDS_ON,0,add
cpe-6bf0f99f,trunk-5da41dda,DEPENDS_ON,0,add
sa-935ef348,cpe-6bf0f99f,DEPENDS_ON,0,add
sa-935ef348,location-563,INSTALLED_AT,0,add
concentrator-09e50146,port-7eecb4b7,HAS_PORT,0,add
cpe-6b9c9a13,port-7eecb4b7,DEPENDS_ON,0,add
cpe-6b9c9a13,trunk-8e25ffdb,DEPENDS_ON,0,add
cpe-6b9c9a13,trunk-5da41dda,DEPENDS_ON,0,add
sa-6ce919ed,cpe-6b9c9a13,DEPENDS_ON,0,add
sa-6ce919ed,location-501,INSTALLED_AT,0,add
